gsd_rank,region,name,country,tiktok_url,tiktok_followers,primary_url,platform_type,institutional_employer,content_language,atlas_tier,tier_rationale,gsd_bio_excerpt,notes
1,Africa,Ogechi Emeh (Adaigbo Global),Nigeria,https://www.tiktok.com/@adaigboglobal,UNVERIFIED,,TikTok-only,Independent,English,B,Own brand (Adaigbo Global) with clear editorial identity but no confirmed publishing home beyond social media.,"News reporter and digital storyteller amplifying Igbo culture and heritage, reporting on social-economic issues affecting Nigerians.",Recognized on GSD's own 2025 Africa powerlist. Produces original content under own brand but TikTok-first with no newsletter/podcast confirmed.
2,Africa,Vito Gaye,Senegal,https://www.tiktok.com/@vitogaye20,UNVERIFIED,,Website,313 Digital,French/Wolof,C,Staff journalist and television presenter at 313 Digital — institutional employer confirmed in bio.,"Journalist, radio host, and television presenter at 313 Digital recognized for engaging current affairs commentary and voice-over work.",313 Digital is a Senegalese digital media company. Institutional staff role.
3,Africa,Miss Coumbae,Senegal,https://www.tiktok.com/@misscoumbae,UNVERIFIED,,TikTok-only,RTS (Radiodiffusion Télévision Sénégalaise),French/Wolof,C,Staff presenter at RTS — the Senegalese national public broadcaster. TikTok is personal side channel.,"Sports journalist and presenter at RTS known for dynamic football coverage, Real Madrid supporter with vibrant personality.",RTS is Senegal's state broadcaster. Clear TIER C.
4,Africa,Hikma Temam,Ethiopia,https://www.tiktok.com/@hikma.....t,UNVERIFIED,,TikTok-only,Ethiopian Broadcasting Corporation,Amharic,C,LinkedIn confirms Assistant Producer at EBC (Ethiopian Broadcasting Corporation) — 100% state-owned broadcaster.,"Ethiopian digital storyteller exploring Africa's political, cultural, and social realities through YouTube, celebrating progress while challenging misconceptions.",EBC is Ethiopian state TV. Despite independent-sounding GSD bio her primary role is institutional.
5,Africa,Rose Jiya Nima,Nigeria,https://www.tiktok.com/@officer_boo,UNVERIFIED,,TikTok-only,Unknown,English,B,Dual identity as journalist and police officer — unclear primary publishing home and editorial independence.,"Journalist, police officer, and on-air personality bridging law enforcement and journalism with engaging social media presence.",No confirmed independent publishing home. Unusual dual journalist/police role warrants editorial scrutiny.
6,Africa,Nana Kwame Adasah,Ghana,https://www.tiktok.com/@nanakwame_adasah,UNVERIFIED,,TikTok-only,EIB Network,English,C,Affiliated with EIB Network — one of Ghana's largest media conglomerates (Empire FM / Onua TV / Asaase Radio). Institutional.,"Broadcast journalist, professional MC, and poet affiliated with EIB Network, renowned for compelling spoken word performances.",EIB Network is a major institutional Ghanaian media group.
7,Africa,Cheikh Kébé,Senegal,https://www.tiktok.com/@cheikhkebe2journaliste,UNVERIFIED,,TikTok-only,2sTV,French/Wolof,C,Explicitly identified as journalist and reporter at 2sTV — a Senegalese institutional television channel.,"Journalist and reporter at 2sTV known for clear, engaging reporting on social and cultural issues, hosting public discussion programs.",2sTV is an established Senegalese TV outlet. Clear institutional employee.
8,Africa,Shaffie Zele,Kenya,https://www.tiktok.com/@shaffiezele,UNVERIFIED,,TikTok-only,Unknown,English/Swahili,B,Sports journalist with brand ambassador work — no confirmed primary employer or independent publishing home found.,"Sports journalist known for energetic football coverage and brand ambassador work, blending sports commentary with entertainment.",May be freelance or contracted — insufficient info to confirm independence. Needs Ryan review.
9,Africa,Gethou Bapile Gbi,Democratic Republic of the Congo,https://www.tiktok.com/@gethoubapilegbi,UNVERIFIED,,TikTok-only,Unknown,French,B,Very vague bio — journalist and content creator with no employer or independent platform identified.,Journalist and content creator engaging audiences through varied content showcasing personal perspectives and interests.,No research return on independent platform or employer. Mark UNVERIFIED.
10,Africa,Alex Nawej Tshikomb,Democratic Republic of the Congo,https://www.tiktok.com/@alex__nawej__tshikomb,UNVERIFIED,,TikTok-only,Unknown,French,B,Bio blends journalism with MCing and fashion in Lubumbashi — no confirmed employer or independent publishing home.,"Congolese journalist and content creator blending journalism with MCing, dance, and fashion in the Lubumbashi media landscape.",TIER B pending more info. Could be entertainment-leaning rather than journalism.
11,Africa,Devlin's Report,Ghana,https://www.tiktok.com/@ghanamustgotv,UNVERIFIED,,TikTok-only,Unknown,English,B,Appears to operate as independent news brand (own TikTok handle @ghanamustgotv) but no newsletter/podcast/website confirmed beyond social.,"Ghanaian journalist known for timely breaking news coverage and in-depth analyses of national political developments.",Independent brand identity but no publishing home beyond social confirmed. TIER B pending research into whether website exists.
12,Africa,Beker,Ethiopia,https://www.tiktok.com/@beker853,UNVERIFIED,,TikTok-only,Unknown,Amharic,B,Extremely vague bio — no employer or independent platform identified.,"Ethiopian journalist and content creator sharing varied content on social media platforms with growing digital influence.",Insufficient information. UNVERIFIED. Content language and employer both unknown.
13,Africa,Astou Konaté,Senegal,https://www.tiktok.com/@astou_konate_officiel,UNVERIFIED,,TikTok-only,Seneweb,French/Wolof,C,Confirmed journalist and presenter at Seneweb — one of Senegal's largest online news portals. Institutional staff role.,"Journalist and presenter at Seneweb, Communication graduate, known for dynamic sports journalism coverage, nominated for Best Journalist award 2024.",Seneweb is a major institutional Senegalese outlet.
14,Africa,Peace Diane Bagala,Uganda,https://www.tiktok.com/@peacedianesport1,UNVERIFIED,,TikTok-only,"CBS FM, BBS Terefayina",English,C,Confirmed staff roles at two institutional Ugandan broadcasters — CBS FM and BBS Terefayina.,"Sports journalist and presenter at CBS FM and BBS Terefayina recognized for insightful football commentary and analysis.",Two confirmed institutional employers. Clear TIER C.
15,Africa,Millard Afrael Ayo,Tanzania,https://www.tiktok.com/@millardayo_,UNVERIFIED,,TikTok-only,Unknown,Swahili/English,B,Bio references past work at Clouds FM and ITV/Radio One but no current employer confirmed — may now be independent.,"Journalist and broadcaster voted Most Influential Young Tanzanian in 2018, worked with Clouds FM and ITV/Radio One.",Past institutional; current status unclear. Worth searching further — if freelance now could upgrade to A.
