name,url,platform,beat,geography,layer,type,following,notes,source,date_added
Ernest Crim III,https://ernestcrim.com,Video/Newsletter,Black Chicago/Civic History,Chicago (South Side),atlas-ready,individual,426000,"426K TikTok. Emmy-nominated. South Side native. WBEZ contributor. You Don't Know Chi on Fox 32. Has newsletter. Covers Black history with explicit current-events frame.",Tracy Baim / Chat spidering,2026-05-19
Charlene Rhinehart / Chicago Southsider,https://chicagosouthsider.substack.com,Newsletter,Black Chicago/South Side,Chicago (South Side),atlas-ready,individual,30000,"30K+ Substack subscribers. Founded 2021. Northwestern Medill Local News Accelerator graduate. Solutions Journalism Network LEDE Fellow 2023. Active weekly.",Chat spidering,2026-05-19
Devlyn Camp / Queer Serial,https://queerserial.com,Podcast,LGBTQ/Chicago History,Chicago,atlas-ready,individual,0,"NLGJA Excellence in Journalism Award 2021. Co-hosted They & Them queer news podcast in Chicago. Windy City Times 30 Under 30. Legitimate journalist.",Chat spidering,2026-05-19
Anna DeShawn / Queer News,https://annadeshawn.com,Podcast/Radio,LGBTQ/Black Chicago,Chicago (South Side),atlas-ready,individual,0,"Already in MEDILL_OUTLETS ecosystem table. Should also be in JOURNALISM_CREATORS individual layer. Queer News podcast Ambie Award 2023. Active through May 2026.",Tracy Baim / Chat spidering,2026-05-19
Farzaan Aleem / chi.suhoor,https://instagram.com/chi.suhoor,Social/Video,Muslim Chicago/Community,Chicago,atlas-soon,individual,1200000,"1.2M Instagram followers. Highlights Muslim-owned restaurants and Chicago neighborhood culture. Civic/community function — needs content review for journalism eligibility.",Chat spidering,2026-05-19
Renee DiNino / chicago.by.ren,https://instagram.com/chicago.by.ren,Social/Video,Chicago Lifestyle,Chicago,atlas-soon,individual,240000,"240K+ followers. City guide architecture neighborhood coverage. Lifestyle layer candidate — check master CSV.",Chat spidering,2026-05-19
Chicago Food Guide,https://instagram.com/chicago.food.guide,Social,Food/Lifestyle,Chicago,atlas-soon,individual,168000,"168K Instagram 215K TikTok. Featured WGN NBC. Amin Tomalieh + Camila Gallego. Lifestyle layer.",Chat spidering,2026-05-19
Chris Dolo Eats,https://instagram.com/chrisdoloeats,Social/Video,Food/Lifestyle,Chicago,atlas-soon,individual,301000,"301K Instagram 2B+ views. Lifestyle layer.",Chat spidering,2026-05-19
312food / Erin Byrne,https://instagram.com/312food,Social,Food/Lifestyle,Chicago,atlas-soon,individual,152000,"152K Instagram. Lifestyle layer.",Chat spidering,2026-05-19
Hangry in Chicago / Bailey McGuire,https://instagram.com/hangry_chicago,Social,Food/Lifestyle/Travel,Chicago,atlas-soon,individual,99000,"99K Instagram. Lifestyle layer.",Chat spidering,2026-05-19
Cicero Independiente,https://ciceroindependiente.com,Website/Newsletter,Latino/Civic,Cicero/Berwyn (SW suburbs),ecosystem-only,nonprofit,3498,"INN member. City Bureau fiscally sponsored. Press Forward Chicago grantee. Bilingual print + digital. 3498 Instagram. Doing real journalism but nonprofit collective model not individual creator.",Chat spidering,2026-05-19
Kai EL' Zabar / Chicago News Weekly,https://cnwmedia.com,Website/Video,Black Chicago/Arts/Culture,Chicago,ecosystem-only,outlet,0,"Long-tenured Chicago journalist. Runs Chicago News Weekly essentially solo. Active weekly. Covers arts culture civic affairs. Borderline ecosystem-only vs atlas-soon — revisit with Ryan.",Tracy Baim / Chat spidering,2026-05-19
Investigative Project on Race and Equity (iPRE),https://raceandequityproject.org,Website,Race/Equity/Investigative,Chicago,ecosystem-only,nonprofit,0,"3-4 journalists plus fellows. FOIA-focused. Funded by MacArthur Field Joyce CCT Press Forward. Partners include Block Club Injustice Watch Borderless WBEZ. INN member. Not creator-model.",Tracy Baim,2026-05-19
E3 Radio,https://e3radio.fm,Podcast/Radio,LGBTQ/Black Chicago,Chicago (South Side),ecosystem-only,outlet,0,"Founded by Anna DeShawn. Online LGBTQ+ radio station + Queer News podcast. Anna DeShawn as individual is atlas-ready — E3 Radio as outlet is ecosystem-only.",Tracy Baim,2026-05-19
WVON Radio / vonTV,https://wvon.com,Radio/Video,Black Chicago,Chicago,ecosystem-only,legacy,0,"Historic Black talk radio. vonTV is video arm. Midway Broadcasting Corp. Also has Latino station. Ethnic mainstream. Not creator-model.",Tracy Baim,2026-05-19
Chicago Independent Media Alliance (CIMA),https://cimadirectory.org,Directory,Various,Chicago,ecosystem-only,collective,0,"69 members 81 outlets 4.5M combined audience. Future spidering target — ask Kim Bellware which members are creator-model.",Chat spidering,2026-05-19
Tiffany Walden / TRiiBE,https://thetriibe.com,Website/Newsletter,Black Chicago,Chicago,watchlist,individual,0,"TRiiBE co-founder. Chicago Magazine most powerful list. Individual vs institutional call pending. TRiiBE is already in ecosystem data as outlet.",Chat spidering,2026-05-19
Tamika (Chicago),,,Black Chicago,Chicago,watchlist,individual,0,"Named by Tracy Baim without last name or platform. Flag for Kim Bellware call and direct follow-up with Tracy.",Tracy Baim,2026-05-19
Chicago Reporter,,Website,Race/Equity,Chicago,watchlist,outlet,58000,"Operational status uncertain as of early 2026. Active data point — check current site for recent stories.",Tracy Baim,2026-05-19
