name,channel,link,rss_url,platform,confidence,topic,geography,group,notes
"Adam Cole","Howtown","https://www.youtube.com/@Howtown","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Explanatory","National - US","Journalism Formats","fetch https://www.youtube.com/@Howtown extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Alexios Mantzarlis","Indicator","https://indicator.media","https://indicator.media/feed","Newsletter - Beehiiv","HIGH","Tech","New York, NY","Money & Work","Beehiiv /feed"
"Alicia Kennedy","From the Desk of Alicia Kennedy","https://www.aliciakennedy.news","https://www.aliciakennedy.news/feed","Newsletter - Substack","HIGH","Culture","Puerto Rico - US","Culture & Media","Substack /feed"
"Becca Farsace","Taking Tech Outside","https://www.youtube.com/BeccaFarsace","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Tech","National - US","Money & Work","fetch https://www.youtube.com/BeccaFarsace extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
"Bryan M. Vance","Stumptown Savings","https://stumptownsavings.com","https://stumptownsavings.com/feed","Newsletter - Beehiiv","HIGH","Finance/Economics, Local","Portland, OR","Money & Work, Civic Life","Beehiiv /feed"
"Caitlin Dewey","Links I Would GChat You If We Were Friends","https://linksiwouldgchatyou.substack.com","https://linksiwouldgchatyou.substack.com/feed","Newsletter - Substack","HIGH","Internet Culture","National - US","Culture & Media","Substack /feed"
"Casey Lewis","After School","https://afterschool.substack.com","https://afterschool.substack.com/feed","Newsletter - Substack","HIGH","Internet Culture","National - US","Culture & Media","Substack /feed"
"Casey Newton","Platformer","https://www.platformer.news","https://www.platformer.news/rss","Newsletter - Ghost","HIGH","Tech","National - US","Money & Work","Ghost /rss"
"Chris Cillizza","So What","https://chriscillizza.substack.com","https://chriscillizza.substack.com/feed","Newsletter - Substack","HIGH","Politics","Washington, D.C.","Power & Politics","Substack /feed"
"Chris Geidner","Law Dork","https://www.lawdork.com","https://www.lawdork.com/feed","Newsletter - Substack","HIGH","Government Accountability","National - US","Power & Politics","Substack /feed"
"Cleo Abram","Huge If True","https://www.youtube.com/cleoabram","NEEDS_CHANNEL_ID","Video - YouTube","PENDING","Tech","National - US","Money & Work","fetch https://www.youtube.com/cleoabram extract channel_id then: youtube.com/feeds/videos.xml?channel_id=ID"
