Status,Priority,Category,Item Description,Tester Name,Date Found,Notes/Details,Date Fixed,Fixed By
HEADER,,,CORE FUNCTIONALITY,,,,,
,High,Navigation,Logo links to homepage,,,,,
,High,Navigation,Who We Are page loads,,,,,
,High,Navigation,What We Do page loads,,,,,
,High,Navigation,Advisory Boards page loads,,,,,
,High,Navigation,Contact page loads,,,,,
,High,Navigation,Research page loads,,,,,
,High,Search,Search box accepts input,,,,,
,High,Search,Search returns relevant results,,,,,
,High,Search,Search handles no results gracefully,,,,,
,High,Filters,Platform filter works,,,,,
,High,Filters,Topic filter works,,,,,
,High,Filters,Geography filter works,,,,,
,High,Filters,Multiple filters work together,,,,,
,High,Filters,Clear filters button works,,,,,
,High,Visualization,Grid view displays all creators,,,,,
,High,Visualization,Grid view cards are clickable,,,,,
,High,Visualization,Bubble Map renders correctly,,,,,
,High,Visualization,Bubble Map is interactive,,,,,
,High,Visualization,Sunburst chart renders correctly,,,,,
,High,Visualization,Sunburst chart is interactive,,,,,
,High,Visualization,Switch between visualizations works,,,,,
,High,Data,All ~600-1000 creators display,,,,,
,High,Data,Creator links work correctly,,,,,
,High,Data,No duplicate entries,,,,,
HEADER,,,MOBILE RESPONSIVE,,,,,
,High,Mobile,Site loads on iPhone,,,,,
,High,Mobile,Site loads on Android,,,,,
,High,Mobile,Navigation menu works on mobile,,,,,
,High,Mobile,Search works on mobile,,,,,
,High,Mobile,Filters work on mobile,,,,,
,High,Mobile,Grid view readable on mobile,,,,,
,High,Mobile,Bubble map usable on mobile,,,,,
,High,Mobile,Sunburst usable on mobile,,,,,
,High,Mobile,All pages responsive on tablet,,,,,
,Medium,Mobile,Text is readable without zooming,,,,,
,Medium,Mobile,Buttons are tappable size,,,,,
,Medium,Mobile,Images don't overflow,,,,,
HEADER,,,BROWSER COMPATIBILITY,,,,,
,High,Browser,Works in Chrome (latest),,,,,
,High,Browser,Works in Safari (latest),,,,,
,High,Browser,Works in Firefox (latest),,,,,
,High,Browser,Works in Edge (latest),,,,,
,Medium,Browser,Works in older browsers (1 year old),,,,,
HEADER,,,DESIGN & BRANDING,,,,,
,High,Design,Logo displays correctly,,,,,
,High,Design,Favicon appears in browser tab,,,,,
,High,Design,Color palette matches brand guidelines,,,,,
,High,Design,Fonts load correctly (Hanken Grotesk),,,,,
,High,Design,Fonts load correctly (Merriweather),,,,,
,Medium,Design,Contrast meets accessibility standards,,,,,
,Medium,Design,Consistent spacing throughout,,,,,
,Medium,Design,Hover states work on interactive elements,,,,,
HEADER,,,CONTENT ACCURACY,,,,,
,High,Content,Who We Are content is accurate,,,,,
,High,Content,What We Do content is accurate,,,,,
,High,Content,Advisory Boards content is accurate,,,,,
,High,Content,Contact info is correct,,,,,
,High,Content,Research page links work,,,,,
,High,Content,Email addresses work (hello@journalismatlas.com),,,,,
,High,Content,LinkedIn URLs updated,,,,,
,High,Content,No typos in visible text,,,,,
,Medium,Content,Copyright year is correct,,,,,
HEADER,,,PERFORMANCE,,,,,
,Medium,Performance,Page loads in under 3 seconds,,,,,
,Medium,Performance,Images optimized/compressed,,,,,
,Medium,Performance,No console errors in DevTools,,,,,
,Medium,Performance,No broken links (run link checker),,,,,
,Low,Performance,Lazy loading works for images,,,,,
HEADER,,,SEO & METADATA,,,,,
,High,SEO,Page title tags present on all pages,,,,,
,High,SEO,Meta descriptions present on all pages,,,,,
,Medium,SEO,Open Graph tags for social sharing,,,,,
,Medium,SEO,Twitter Card tags present,,,,,
,Medium,SEO,Alt text on all images,,,,,
,Low,SEO,Sitemap.xml exists,,,,,
,Low,SEO,robots.txt configured,,,,,
HEADER,,,TECHNICAL,,,,,
,High,Technical,HTTPS/SSL certificate active,,,,,
,High,Technical,Domain (journalismatlas.com) configured,,,,,
,Medium,Technical,404 page exists and is styled,,,,,
,Medium,Technical,Google Analytics installed,,,,,
,Medium,Technical,Analytics tracking events work,,,,,
,Low,Technical,Cookie consent if needed,,,,,
HEADER,,,USER EXPERIENCE,,,,,
,High,UX,Loading states appear for data fetching,,,,,
,High,UX,Error states are user-friendly,,,,,
,Medium,UX,Empty states are informative,,,,,
,Medium,UX,Back button works as expected,,,,,
,Low,UX,Print-friendly view available,,,,,
HEADER,,,CROSS-DEVICE SPECIFIC TESTS,,,,,
,High,Device,Test on MacBook (Safari & Chrome),,,,,
,High,Device,Test on Windows PC (Chrome & Edge),,,,,
,High,Device,Test on iPhone (Safari),,,,,
,High,Device,Test on Android phone (Chrome),,,,,
,Medium,Device,Test on iPad (Safari),,,,,
HEADER,,,EDGE CASES,,,,,
,Medium,Edge Case,Search with special characters,,,,,
,Medium,Edge Case,Filter with no results,,,,,
,Medium,Edge Case,Very long creator names,,,,,
,Medium,Edge Case,Creators with no links,,,,,
,Low,Edge Case,Slow internet connection,,,,,
,Low,Edge Case,Disabled JavaScript scenario,,,,,
HEADER,,,POST-LAUNCH MONITORING,,,,,
,High,Monitoring,Check analytics after 1 hour,,,,,
,High,Monitoring,Check analytics after 24 hours,,,,,
,High,Monitoring,Monitor email for user feedback,,,,,
,High,Monitoring,Check social mentions,,,,,
,Medium,Monitoring,Review error logs if available,,,,,
