name,bsky_handle,bsky_followers,primary_platform,primary_url,beat,geography,confirmed_eligible,trustfnd_eligible,notes
Garrett M. Graff,vermontgmg.bsky.social,101620,Newsletter,doomsdayscenario.co,National Security / History,National,YES,,"Pulitzer finalist journalist and historian. Author of Watergate, Raven Rock, The Only Plane in the Sky. Independent newsletter at doomsdayscenario.co. Formerly Politico Magazine."
Jason Koebler,jasonkoebler.bsky.social,58873,Email newsletter,404media.co,Technology / Surveillance,National,YES,,"Co-founder 404 Media — independent tech newsroom (worker-owned). Individual face of publication. Covers Big Tech, AI, surveillance. Subscription newsletter model."
David M. Perry,lollardfish.bsky.social,58083,Substack,[verify modernmedieval.substack.com],History / Disability / Politics,National,YES,,"Journalist and historian. Runs Modern Medieval Newsletter. Author, former professor. Writes for The Atlantic, CNN, NBC. Independent newsletter is primary platform."
Andrea Pitzer,andreapitzer.bsky.social,55733,Newsletter + Podcast,andreapitzer.com,Authoritarianism/History/Investigative,USA,YES,YES,"Veteran journalist and author (One Long Night: A Global History of Concentration Camps; Icebound). Independent podcast ""Next Comes What"" + ""Degenerate Art"" newsletter. Covers authoritarian history, resistance strategies. marisakabas+hamiltonnolan+mdelbosque networks. S9 Atlas-native."
Wendy Siegelman,wendysiegelman.bsky.social,50087,Newsletter,[verify],Politics / Kleptocracy / OSINT,National,YES,,"Independent investigative journalist covering Trump, kleptocracy, dark money, far-right networks. Heavy OSINT methodology. Newsletter active. Very strong Atlas fit."
Virginia Heffernan,virginiaheffernan.bsky.social,33202,Substack / Podcast,[verify Magic + Loss on Substack],Media / Culture / Technology,National,YES,,"Longtime journalist. Podcast ""What Rough Beast."" Substack ""Magic + Loss."" Freelance contributor to Wired, NYT, Politico. Independent voice."
Molly Crabapple,mollycrabapple.bsky.social,24924,Substack,mollycrabapple.com,Politics / Art / International,International,YES,,"Artist and journalist. Substack confirmed in bio. Written for NYT, Vice, Rolling Stone. Covers conflict zones, civil liberties, art as journalism."
Jeff Yang,originalsp.in,22679,Podcast,bit.ly/listen2TCUB,AAPI Media/Culture,USA,YES,NO,"Cultural critic, journalist. Co-host They Call Us Bruce podcast w/ Phil Yu. Contributor Guardian US + NPR Pop Culture Happy Hour. Domain-based handle. AAPI media/culture beat. originalspin network. S9 AAPI layer."
Karen Hao,karenhao.bsky.social,21758,Newsletter,empireofai.com,AI / Technology,National,YES,,"Freelance AI journalist. NYT bestseller EMPIRE OF AI. National Magazine Award winner. Formerly MIT Technology Review, WSJ. Independent newsletter/book-driven creator."
Lux Alptraum,luxalptraum.com,16761,Newsletter / Podcast,luxalptraum.com,Culture / Sex / Politics,National,YES,,"Journalist, author, podcaster. Independent. Covers sex, politics, culture, OCD. Has newsletter and podcast. Author of Faking It."
Melody Schreiber,melodyschreiber.com,16665,Newsletter,melodyschreiber.com,Health / Arctic,National,YES,,"Contributing editor The New Republic, health reporter Guardian US. Independent health journalism focused on Arctic and maternal health. Newsletter active."
Chris Nelder,chrisnelder.bsky.social,12890,Podcast,xenetwork.org/ets,Energy/Climate,USA,YES,YES,Creator and Host of The Energy Transition Show (XE Network). Membership model: transcripts + member-only extras. Deep-dive expert interviews on global energy transition. mariannedhe+mdelbosque networks. S9 Atlas-native.
Jack Mirkinson,jackmirkinson.bsky.social,10883,Newsletter,discourse.blog,Media Criticism / Politics,National,YES,,Co-owner/editor Discourse Blog (independent media criticism). Senior editor The Nation. Media beat + independent publication. Strong Atlas fit.
Arturo Dominguez,extremearturo.bsky.social,9493,Newsletter (Substack),extremearturo.substack.com,Immigration/Latin America/Human Rights,USA,YES,YES,"Decolonized Journalism Substack newsletter with 8,000+ subscribers. Covers US politics, immigration, Cuba, Latin America, hate groups. Freelance: Unicorn Riot, The Nation, Capitol Press. Editor, Antagonist Magazine. ericblanc+mdelbosque networks. S9 Atlas-native."
Rob Pegoraro,robpegoraro.com,9101,Newsletter,robpegoraro.com,Technology / Consumer,DC / National,YES,,"DC-based freelance tech journalist. Covers consumer tech, privacy, telecom. Bylines WaPo, USA Today, Yahoo Tech. Newsletter active at robpegoraro.com. Independent."
Phil Yu,angryasianman.bsky.social,5735,Blog + Podcast,angryasianman.com,AAPI Media/Culture,USA,YES,NO,"Creator of Angry Asian Man (angryasianman.com), independent AAPI news/culture blog since 2001. Co-host They Call Us Bruce podcast. Peabody Award-winning. Author RISE (pop history of Asian America). AAPI media pioneer. S9 AAPI layer."
