name	bsky_handle	bsky_followers	primary_platform	primary_url	beat	geography	notes
Michael Hobbes	michaelhobbes.bsky.social	193805	Substack/Podcast	maintenancephase.com	Health / Politics	National	Co-host Maintenance Phase podcast + newsletter; independent fact-check journalism and media criticism. Prior: You're Wrong About. Massive following.
Garrett M. Graff	vermontgmg.bsky.social	101620	Newsletter	doomsdayscenario.co	National Security / History	National	Pulitzer finalist journalist and historian. Author of Watergate, Raven Rock, The Only Plane in the Sky. Independent newsletter at doomsdayscenario.co. Formerly Politico Magazine.
Wendy Siegelman	wendysiegelman.bsky.social	50087	Newsletter	[verify]	Politics / Kleptocracy / OSINT	National	Independent investigative journalist covering Trump, kleptocracy, dark money, far-right networks. Heavy OSINT methodology. Newsletter active. Very strong Atlas fit.
Jason Koebler	jasonkoebler.bsky.social	58873	Email newsletter	404media.co	Technology / Surveillance	National	Co-founder 404 Media — independent tech newsroom (worker-owned). Individual face of publication. Covers Big Tech, AI, surveillance. Subscription newsletter model.
David M. Perry	lollardfish.bsky.social	58083	Substack	[verify modernmedieval.substack.com]	History / Disability / Politics	National	Journalist and historian. Runs Modern Medieval Newsletter. Author, former professor. Writes for The Atlantic, CNN, NBC. Independent newsletter is primary platform.
Virginia Heffernan	virginiaheffernan.bsky.social	33202	Substack / Podcast	[verify Magic + Loss on Substack]	Media / Culture / Technology	National	Longtime journalist. Podcast "What Rough Beast." Substack "Magic + Loss." Freelance contributor to Wired, NYT, Politico. Independent voice.
Molly Crabapple	mollycrabapple.bsky.social	24924	Substack	mollycrabapple.com	Politics / Art / International	International	Artist and journalist. Substack confirmed in bio. Written for NYT, Vice, Rolling Stone. Covers conflict zones, civil liberties, art as journalism.
Karen Hao	karenhao.bsky.social	21758	Newsletter	empireofai.com	AI / Technology	National	Freelance AI journalist. NYT bestseller EMPIRE OF AI. National Magazine Award winner. Formerly MIT Technology Review, WSJ. Independent newsletter/book-driven creator.
Melody Schreiber	melodyschreiber.com	16665	Newsletter	melodyschreiber.com	Health / Arctic	National	Contributing editor The New Republic, health reporter Guardian US. Independent health journalism focused on Arctic and maternal health. Newsletter active.
Lux Alptraum	luxalptraum.com	16761	Newsletter / Podcast	luxalptraum.com	Culture / Sex / Politics	National	Journalist, author, podcaster. Independent. Covers sex, politics, culture, OCD. Has newsletter and podcast. Author of Faking It.
Jack Mirkinson	jackmirkinson.bsky.social	10883	Newsletter	discourse.blog	Media Criticism / Politics	National	Co-owner/editor Discourse Blog (independent media criticism). Senior editor The Nation. Media beat + independent publication. Strong Atlas fit.
Tom Ley	toley.bsky.social	5114	Email newsletter	defector.com	Sports	National	Co-owner Defector Media — worker-owned independent sports newsroom. Individual face/columnist. Ghost platform subscription model. Strong TrustFnd fit.
Dan Ozzi	danozzi.bsky.social	4195	Newsletter	danozzi.com	Music Journalism	National	Independent music journalist and author. Books on punk and music scenes. Newsletter at danozzi.com. Freelance for major publications.
Kevin Gosztola	kgosztola.bsky.social	1672	Substack	thedissenter.substack.com	Press Freedom / Civil Liberties	National	Editor of The Dissenter Newsletter (Substack). Covers national security law, press freedom, whistleblowers, WikiLeaks. Independent journalist. Smaller following but strong beat.
Tristan Ahtone	tahtone.bsky.social	1184	Newsletter	[verify]	Indigenous Affairs	National	Kiowa journalist. Editor-at-large Grist. Covers Indigenous communities, land rights, tribal sovereignty. Rare voice — strong Atlas gap fill. Newsletter status needs verification.
Rob Pegoraro	robpegoraro.com	9101	Newsletter	robpegoraro.com	Technology / Consumer	DC / National	DC-based freelance tech journalist. Covers consumer tech, privacy, telecom. Bylines WaPo, USA Today, Yahoo Tech. Newsletter active at robpegoraro.com. Independent.
