gsd_rank,region,name,country,tiktok_url,tiktok_followers,primary_url,platform_type,institutional_employer,content_language,atlas_tier,tier_rationale,gsd_bio_excerpt,notes,scrub_tier,scrub_rationale,upgrade_evidence,duncan_question
1,Africa,Ogechi Emeh (Adaigbo Global),Nigeria,https://www.tiktok.com/@adaigboglobal,UNVERIFIED,,TikTok-only,Independent,English,B,Own brand (Adaigbo Global) with clear editorial identity but no confirmed publishing home beyond social media.,"News reporter and digital storyteller amplifying Igbo culture and heritage, reporting on social-economic issues affecting Nigerians.",Recognized on GSD's own 2025 Africa powerlist. Produces original content under own brand but TikTok-first with no newsletter/podcast confirmed.,B-final,Research confirms Adaigbo Global is a cultural platform focused on Igbo heritage; Hall of Fame Award from Nma Alaigbo confirms cultural advocacy role but no newsletter or podcast found beyond social media.,,Does Adaigbo Global have a newsletter or podcast beyond social media? Is there a website (adaigboglobal.com or similar)?
5,Africa,Rose Jiya Nima,Nigeria,https://www.tiktok.com/@officer_boo,UNVERIFIED,,TikTok-only,Unknown,English,B,Dual identity as journalist and police officer — unclear primary publishing home and editorial independence.,"Journalist, police officer, and on-air personality bridging law enforcement and journalism with engaging social media presence.",No confirmed independent publishing home. Unusual dual journalist/police role warrants editorial scrutiny.,B-final,Dual police officer/journalist identity raises editorial independence concerns; no independent publishing platform found.,,Is Rose Jiya Nima primarily a journalist or active police officer? Does she have any publishing home beyond social media?
8,Africa,Shaffie Zele,Kenya,https://www.tiktok.com/@shaffiezele,UNVERIFIED,,TikTok-only,Unknown,English/Swahili,B,Sports journalist with brand ambassador work — no confirmed primary employer or independent publishing home found.,"Sports journalist known for energetic football coverage and brand ambassador work, blending sports commentary with entertainment.",May be freelance or contracted — insufficient info to confirm independence.,B-final,No employer or independent platform confirmed after research; brand ambassador role alongside sports journalism suggests commercial rather than editorial independence.,,Is Shaffie Zele freelance or staff-employed? Does he have a podcast or YouTube channel beyond TikTok?
9,Africa,Gethou Bapile Gbi,Democratic Republic of the Congo,https://www.tiktok.com/@gethoubapilegbi,UNVERIFIED,,TikTok-only,Unknown,French,B,Very vague bio — journalist and content creator with no employer or independent platform identified.,Journalist and content creator engaging audiences through varied content showcasing personal perspectives and interests.,No research return on independent platform or employer. Mark UNVERIFIED.,B-final,No information found on employer or independent platform after research.,,Can you confirm any employer or independent publishing platform for Gethou Bapile Gbi?
10,Africa,Alex Nawej Tshikomb,Democratic Republic of the Congo,https://www.tiktok.com/@alex__nawej__tshikomb,UNVERIFIED,,TikTok-only,Unknown,French,B,Bio blends journalism with MCing and fashion in Lubumbashi — no confirmed employer or independent publishing home.,"Congolese journalist and content creator blending journalism with MCing, dance, and fashion in the Lubumbashi media landscape.",TIER B pending more info. Could be entertainment-leaning rather than journalism.,C,Bio confirms MCing/dance/fashion are primary activities alongside journalism — entertainment content is primary with no journalism platform found; downgrade per content-pivot criterion.,,
11,Africa,Devlin's Report,Ghana,https://www.tiktok.com/@ghanamustgotv,UNVERIFIED,,TikTok-only,Unknown,English,B,Appears to operate as independent news brand (own TikTok handle @ghanamustgotv) but no newsletter/podcast/website confirmed beyond social.,"Ghanaian journalist known for timely breaking news coverage and in-depth analyses of national political developments.",Independent brand identity but no publishing home beyond social confirmed. TIER B pending research into whether website exists.,B-final,Ghana Must Go TV has Facebook and YouTube presence but no ghanamustgo.tv website confirmed; brand identity is clear but TikTok/social remains primary channel.,,Does Ghana Must Go TV / Devlin's Report have a website or newsletter beyond social media? Who is the journalist behind the brand?
12,Africa,Beker,Ethiopia,https://www.tiktok.com/@beker853,UNVERIFIED,,TikTok-only,Unknown,Amharic,B,Extremely vague bio — no employer or independent platform identified.,"Ethiopian journalist and content creator sharing varied content on social media platforms with growing digital influence.",Insufficient information. UNVERIFIED. Content language and employer both unknown.,B-final,No additional information found; bio too vague to make any tier determination.,,Can you confirm Beker's real name and employer? Is there any publishing platform beyond TikTok?
15,Africa,Millard Afrael Ayo,Tanzania,https://www.tiktok.com/@millardayo_,UNVERIFIED,https://millardayo.com,Website/YouTube,Independent (Ayo TV TZA Company Limited),Swahili/English,B,Bio references past work at Clouds FM and ITV/Radio One but no current employer confirmed — may now be independent.,"Journalist and broadcaster voted Most Influential Young Tanzanian in 2018, worked with Clouds FM and ITV/Radio One.",Past institutional; current status unclear. Worth searching further — if freelance now could upgrade to A.,A,"Founder of Ayo TV TZA Company Limited which runs millardayo.com; YouTube channel has 5.96M subscribers and 2.1B views — first African journalist to reach 1B YouTube views; independent media operation dwarfs any remaining CloudsFM role; meets upgrade criteria on YouTube (5.96M), own website, and journalism under own brand.",https://www.youtube.com/channel/UCg_GB9WS6YKHilQZIJEC4kg,
16,Africa,Hausa Guy,Nigeria,https://www.tiktok.com/@hausa_guy,UNVERIFIED,,TikTok-only,Unknown,Hausa/English,B,Own brand identity with independent-sounding bio but no confirmed newsletter/podcast/website found.,"Multimedia journalist based in Abuja telling stories in Hausa and English, spotlighting social justice and cultural identity issues.",No search return on independent platform. TikTok-only brand.,B-final,No newsletter/podcast/website found under 'Hausa Guy' or related brand names after targeted search.,,Does Hausa Guy have any publishing platform beyond TikTok — Substack/newsletter/podcast/website/YouTube?
18,Africa,Kojo Kinn,Ghana,https://www.tiktok.com/@kojokinn_,UNVERIFIED,,TikTok-only,Modern Ghana (freelance contributor),English,B,Freelance contributor to Modern Ghana with personal music projects — neither fully independent nor staff.,"Entertainment journalist writing for Modern Ghana on music, culture, and arts, while pursuing personal musical projects.",Freelance contributor status = TIER B. Not staff but also no own publishing home confirmed.,B-final,Freelance contributor status confirmed but no own newsletter/YouTube/podcast found; Modern Ghana is his outlet not his platform.,,Does Kojo Kinn have a personal newsletter or YouTube channel beyond his Modern Ghana contributions?
